model,accuracy,precision,sensitivity,specificity,tnr,f1,roc_auc,tp,tn,fp,fn,recall
Majority Class Baseline,0.5034,0.5034,1.0,0.0,0.0,0.6697,0.5,5354.0,0.0,5281.0,0.0,
Logistic Regression (Scratch),0.5236,0.5265,0.5334,0.5137,0.5137,0.53,0.5388,2856.0,2713.0,2568.0,2498.0,
Logistic Regression (sklearn),0.5247,0.5275,0.5347,0.5145,0.5145,0.5311,0.5386,2863.0,2717.0,2564.0,2491.0,
Decision Tree (Scratch),0.5296,0.5327,0.5334,0.5257,0.5257,0.5331,0.5295,2856.0,2776.0,2505.0,2498.0,
Decision Tree sklearn (depth=3),0.5308,0.5305,0.5921,0.4687,0.4687,0.5596,0.5359,3170.0,2475.0,2806.0,2184.0,
Random Forest (Scratch),0.523,0.5221,0.6195,0.4251,0.4251,0.5667,0.5378,3317.0,2245.0,3036.0,2037.0,
"Random Forest sklearn (n=200, depth=10)",0.5308,0.5315,0.5732,0.4878,0.4878,0.5516,0.5405,3069.0,2576.0,2705.0,2285.0,
KMeans Scratch,0.5034,0.5034,1.0,0.0,0.0,0.6697,,5354.0,0.0,5281.0,0.0,
KMeans sklearn,0.5034,0.5034,1.0,0.0,0.0,0.6697,,5354.0,0.0,5281.0,0.0,
Agglomerative sklearn,0.5034,0.5034,1.0,0.0,0.0,0.6697,,5354.0,0.0,5281.0,0.0,
Perceptron Scratch,0.5285,0.5336,0.5041,0.5533,0.5533,0.5184,,2699.0,2922.0,2359.0,2655.0,
SLP Scratch,0.5225,0.5256,0.529,0.516,0.516,0.5273,,2832.0,2725.0,2556.0,2522.0,
Perceptron sklearn,0.5022,0.5035,0.808,0.1922,0.1922,0.6204,,4326.0,1015.0,4266.0,1028.0,
PCA+SVM Scratch,0.4966,0.0,0.0,1.0,1.0,0.0,0.5148,0.0,5281.0,0.0,5354.0,
PCA+RF sklearn,0.5171,0.519,0.5557,0.4779,0.4779,0.5367,0.522,2975.0,2524.0,2757.0,2379.0,
PCA+SVM sklearn,0.5122,0.5088,0.8991,0.1199,0.1199,0.6498,0.5329,4814.0,633.0,4648.0,540.0,
Logistic sklearn,0.5247,0.5275,0.5347,0.5145,0.5145,0.5311,0.5386,2863.0,2717.0,2564.0,2491.0,
Agglomerative Scratch,0.5031,0.5033,0.9981,0.0013,0.0013,0.6692,,5344.0,7.0,5274.0,10.0,
MLP Scratch,0.5278,0.5278,0.5891,0.4656,0.4656,0.5568,0.5415,3154.0,2459.0,2822.0,2200.0,0.5891
MLP sklearn,0.5311,0.5318,0.5727,0.4889,0.4889,0.5515,0.5423,3066.0,2582.0,2699.0,2288.0,0.5727
SVM sklearn RBF,0.5274,0.5288,0.5633,0.491,0.491,0.5455,0.5429,3016.0,2593.0,2688.0,2338.0,0.5633
SVM sklearn Linear,0.5191,0.5228,0.5133,0.5251,0.5251,0.518,0.5381,2748.0,2773.0,2508.0,2606.0,0.5133
SVM Scratch Linear,0.5108,0.5293,0.2544,0.7707,0.7707,0.3436,0.5271,1362.0,4070.0,1211.0,3992.0,0.2544
LSTM Univariate Scratch,0.4978,0.519,0.0333,0.9687,0.9687,0.0626,0.505,178.0,5104.0,165.0,5164.0,0.0333
LSTM Univariate PyTorch,0.5034,0.5034,1.0,0.0,0.0,0.6697,0.5039,5342.0,0.0,5269.0,0.0,1.0
LSTM Two-Stage PyTorch,0.4829,0.4868,0.4963,0.4694,0.4694,0.4915,0.4755,2651.0,2473.0,2795.0,2691.0,0.4963
LSTM Two-Stage Scratch,0.4857,0.4893,0.4905,0.4809,0.4809,0.4899,0.4782,2620.0,2534.0,2735.0,2722.0,0.4905
GB Scratch,0.5254,0.5253,0.5945,0.4554,0.4554,0.5578,0.5405,3183.0,2405.0,2876.0,2171.0,0.5945
XGBoost,0.5331,0.5314,0.6152,0.4499,0.4499,0.5702,0.5464,3294.0,2376.0,2905.0,2060.0,0.6152
